292
73,289,292,16
9,36,73,268
9,146,36,268
137,82,36,274
137,146,36,274
137,274,36,128
137,274,36,64
82,146,36,274
82,36,274,128
82,36,274,64
146,36,274,128
146,36,274,64
274,36,64,128
73,289,268,16
17,73,289,268
73,146,289,268
73,18,289,268
17,289,268,16
289,146,268,16
289,18,268,16
17,146,289,268
17,18,289,268
289,18,146,268
9,82,36,265
9,146,36,265
9,265,36,128
9,265,36,64
82,146,100,256
82,100,128,256
82,100,64,256
146,100,128,256
146,100,64,256
100,128,64,256
289,10,268,8
289,10,146,292
18,100,36,274
9,18,36,265
73,146,36,268
9,265,36,137
73,18,36,268
18,146,268,36
73,265,100,256
265,82,146,100
265,82,100,128
265,82,100,64
265,146,100,128
265,146,100,64
265,100,64,128
73,36,100,274
9,36,100,256
265,18,100,256
9,73,164,256
82,100,18,256
18,146,100,256
18,100,128,256
18,100,64,256
18,100,36,256
73,18,36,265
9,36,73,265
137,82,36,265
137,146,36,265
137,265,36,128
137,265,36,64
265,274,100,256
9,2,289,292
82,164,18,256
18,146,164,256
18,164,128,256
18,164,64,256
73,289,268,8
289,268,8,16
17,289,268,8
289,146,268,8
289,18,268,8
73,82,100,256
73,146,100,256
73,100,128,256
73,100,64,256
289,2,292,8
289,2,292,10
1,17,289,292
137,82,100,265
137,146,100,265
137,265,100,128
137,265,100,64
73,18,164,256
9,36,164,256
137,274,100,36
137,36,100,256
9,73,289,268
9,289,268,16
9,17,289,268
9,146,289,268
9,18,289,268
1,18,289,292
73,10,289,268
289,10,268,16
17,10,289,268
289,10,146,268
289,10,268,18
137,274,36,164
9,289,292,8
73,289,292,8
289,292,8,16
265,18,100,36
73,2,289,292
73,2,289,268
289,2,268,16
17,2,289,268
289,2,146,268
289,2,268,18
73,265,36,137
9,36,100,265
17,2,289,292
289,2,292,18
289,2,146,292
289,2,292,16
73,164,137,256
82,100,274,256
146,100,274,256
274,100,128,256
274,100,64,256
9,82,36,274
9,146,36,274
9,274,36,128
9,274,36,64
137,265,100,256
137,18,36,265
18,146,36,292
73,36,164,256
9,164,137,256
1,2,289,292
137,18,164,256
9,10,289,292
73,10,289,292
289,10,292,8
289,10,292,16
9,82,36,256
9,146,36,256
9,36,128,256
9,36,64,256
82,146,164,274
82,164,274,128
82,164,274,64
146,164,274,128
146,164,274,64
274,164,64,128
1,10,289,292
265,18,36,274
82,36,18,256
18,146,36,256
18,36,128,256
18,36,64,256
9,274,36,256
274,100,164,36
73,274,36,256
265,36,100,137
73,36,100,256
18,36,164,256
265,82,100,274
265,146,100,274
265,274,100,128
265,274,100,64
73,274,100,164
73,265,36,274
73,36,100,265
73,18,36,292
9,18,36,292
18,36,292,128
1,146,289,292
73,82,164,256
73,146,164,256
73,164,128,256
73,164,64,256
9,265,36,274
73,82,36,265
73,146,36,265
73,265,36,128
73,265,36,64
18,36,292,64
9,274,100,164
265,82,100,256
265,146,100,256
265,100,128,256
265,100,64,256
137,82,164,256
137,146,164,256
137,164,128,256
137,164,64,256
18,100,164,274
18,36,274,256
137,82,36,256
137,146,36,256
137,36,128,256
137,36,64,256
9,73,292,16
137,36,164,256
73,265,164,137
82,100,36,274
146,100,36,274
274,100,36,128
274,100,36,64
146,36,292,64
1,73,289,268
1,289,268,16
1,17,289,268
1,146,289,268
1,18,289,268
36,100,164,256
82,36,274,256
146,36,274,256
274,36,128,256
274,36,64,256
274,100,36,256
137,274,36,256
137,274,100,164
82,36,164,274
146,36,164,274
274,36,164,128
274,36,164,64
265,82,164,18
265,18,146,164
265,18,164,128
265,18,164,64
265,18,100,164
265,82,36,18
265,18,146,36
265,18,36,128
265,18,36,64
82,100,164,274
146,100,164,274
274,100,164,128
274,100,164,64
9,18,164,265
9,265,73,164
9,265,164,137
137,265,36,274
9,265,36,256
137,18,164,265
9,265,100,164
73,18,164,265
137,265,36,256
9,100,164,256
18,100,164,256
73,146,164,292
9,146,164,292
146,164,292,128
17,18,146,292
82,146,36,256
82,36,128,256
82,36,64,256
146,36,128,256
146,36,64,256
36,128,64,256
265,36,100,256
137,100,164,256
265,274,36,256
9,36,73,292
73,36,292,128
9,36,292,128
82,36,18,292
73,100,164,256
73,265,36,256
265,18,36,256
9,17,292,18
17,18,73,292
17,18,292,16
9,82,36,292
9,146,73,292
9,146,292,16
73,146,292,16
82,146,36,292
18,146,164,292
274,36,164,256
265,82,100,36
265,146,100,36
265,36,100,128
265,36,100,64
137,18,36,292
137,146,36,292
18,164,292,64
137,265,100,164
265,82,146,36
265,82,36,128
265,82,36,64
265,146,36,128
265,146,36,64
265,36,64,128
73,265,100,164
9,17,73,292
9,17,292,16
17,73,292,16
82,100,36,256
146,100,36,256
36,100,128,256
36,100,64,256
265,36,100,274
73,274,164,256
9,82,164,292
73,36,292,64
9,36,292,64
36,292,64,128
9,36,292,137
82,146,164,256
82,164,128,256
82,164,64,256
146,164,128,256
146,164,64,256
164,128,64,256
9,265,164,274
146,164,292,64
9,274,164,256
17,18,292,8
17,146,292,8
82,146,164,292
82,36,164,256
146,36,164,256
36,128,164,256
64,36,164,256
137,18,164,292
137,82,36,292
265,18,164,274
82,100,164,256
146,100,164,256
100,128,164,256
64,100,164,256
18,146,292,8
73,265,164,274
265,82,36,274
265,146,36,274
265,274,36,128
265,274,36,64
9,82,164,265
9,146,164,265
9,265,164,128
9,265,164,64
137,274,164,256
73,82,164,265
73,146,164,265
73,265,164,128
73,265,164,64
9,18,73,292
9,18,292,16
73,18,292,16
137,265,164,274
18,100,36,292
9,73,292,164
73,292,164,128
9,292,164,128
73,146,36,292
9,146,36,292
146,36,292,128
9,146,292,8
73,146,292,8
146,292,8,16
82,164,274,256
146,164,274,256
274,164,128,256
274,164,64,256
137,82,164,292
9,292,164,137
9,146,292,128
73,292,164,137
137,292,164,64
137,292,164,128
146,100,36,292
73,82,36,292
82,36,292,64
82,36,292,128
265,18,164,256
82,164,18,292
73,265,164,256
18,164,274,256
73,18,164,292
9,18,164,292
18,164,292,128
36,100,292,64
1,9,289,292
1,73,289,292
1,289,292,8
1,289,292,16
9,265,164,256
17,18,268,292
137,146,164,292
9,17,146,292
17,146,73,292
17,146,292,16
265,18,146,292
9,18,146,292
73,18,146,292
18,146,292,16
274,100,164,256
18,100,164,292
137,82,164,265
137,146,164,265
137,265,164,128
137,265,164,64
265,100,164,256
265,274,164,256
9,17,292,8
17,73,292,8
17,292,8,16
18,268,292,8
9,17,268,292
17,73,268,292
17,268,292,16
146,100,164,292
137,265,164,256
82,100,164,292
265,274,100,164
73,18,292,128
17,146,292,265
9,18,292,8
73,18,292,8
18,292,8,16
18,146,268,292
146,268,292,8
9,146,292,265
73,146,292,265
265,146,292,16
9,73,292,8
9,292,8,16
73,292,8,16
17,146,268,292
73,292,164,64
9,292,164,64
64,292,164,128
100,292,164,64
17,18,292,265
17,268,292,8
18,36,274,292
265,82,100,164
265,146,100,164
265,100,164,128
265,100,164,64
265,146,292,8
17,265,292,8
137,292,100,36
73,36,292,137
137,36,292,64
137,36,292,128
265,82,146,164
265,82,164,128
265,82,164,64
265,146,164,128
265,146,164,64
265,164,64,128
9,73,292,128
73,146,292,128
82,36,274,292
9,17,292,265
17,265,73,292
17,265,292,16
9,268,292,8
73,268,292,8
268,292,8,16
82,100,36,292
137,100,292,164
17,10,292,18
10,146,268,292
265,18,292,8
17,10,268,292
146,36,274,292
17,10,146,292
73,82,164,292
82,164,292,64
82,164,292,128
9,274,164,292
73,36,100,292
9,36,100,292
36,100,292,128
9,2,268,292
73,265,292,128
137,274,36,292
137,274,164,292
82,36,292,256
274,100,36,292
9,73,268,292
9,268,292,16
73,268,292,16
36,100,292,256
73,2,268,292
17,10,292,265
137,36,292,256
10,146,292,18
9,10,292,17
17,10,73,292
17,10,292,8
17,10,292,16
18,36,292,256
9,18,292,128
18,146,292,128
9,292,164,256
73,274,164,292
18,164,274,292
265,82,36,256
265,146,36,256
265,36,128,256
265,36,64,256
10,268,18,292
146,36,292,256
265,18,292,128
18,146,292,64
2,268,10,292
100,292,164,256
1,17,268,292
2,268,292,8
274,164,292,256
265,10,292,18
9,265,73,292
9,265,292,16
73,265,292,16
73,100,292,164
9,100,292,164
100,292,164,128
265,18,292,64
9,265,292,8
73,265,292,8
265,292,8,16
9,10,146,292
73,10,146,292
10,146,292,8
10,146,292,16
9,18,268,292
73,18,268,292
18,268,292,16
1,10,268,292
18,164,292,256
1,2,268,292
9,18,292,265
73,18,292,265
265,18,292,16
9,82,292,265
9,146,268,292
73,146,268,292
146,268,292,16
1,146,268,292
82,164,292,256
265,10,146,292
146,164,292,256
274,100,164,292
1,18,268,292
274,36,292,256
137,292,164,256
9,2,292,10
265,2,292,8
73,2,292,265
265,2,292,10
265,82,292,18
9,2,73,292
9,265,292,128
265,146,292,128
265,146,292,64
265,82,164,274
265,146,164,274
265,274,164,128
265,274,164,64
1,18,292,265
9,18,292,82
265,82,146,292
1,17,146,292
9,82,146,292
73,2,292,10
137,18,292,265
73,2,292,8
9,2,292,8
73,265,292,64
9,265,292,64
265,292,64,128
9,265,292,137
2,292,10,8
82,146,292,18
1,146,292,265
9,2,292,265
1,18,146,292
1,10,292,265
137,82,292,265
1,2,292,265
1,17,292,265
1,17,292,18
1,10,146,292
1,2,73,292
9,73,292,64
73,292,64,128
9,292,64,128
9,265,100,292
265,82,164,256
265,146,164,256
265,164,128,256
265,164,64,256
9,82,73,292
9,82,292,64
9,82,292,128
73,146,292,64
9,146,292,64
146,292,64,128
1,2,292,9
137,146,292,265
265,18,292,274
265,274,292,128
137,265,100,292
1,2,292,10
9,265,292,272:272
265,146,292,272:272
73,18,292,64
9,18,292,64
18,292,64,128
1,10,292,17
73,265,292,272:272
73,82,146,292
82,146,292,64
82,146,292,128
9,274,36,292
73,274,36,292
274,36,292,128
274,36,292,64
1,10,292,18
265,274,292,64
265,18,100,292
73,265,292,274
9,10,268,292
73,10,268,292
10,268,292,8
10,268,292,16
137,265,292,274
82,164,274,292
146,164,274,292
274,164,292,128
274,164,292,64
9,18,292,137
73,265,100,292
265,82,292,274
9,265,292,274
265,146,292,274
73,82,292,64
73,82,292,128
82,292,64,128
1,2,292,8
9,10,292,18
73,10,292,18
10,292,18,8
10,292,18,16
9,36,292,256
73,36,292,256
36,292,128,256
36,292,64,256
73,292,164,256
292,128,164,256
64,292,164,256
17,2,292,18
17,2,146,292
17,2,292,16
2,146,292,18
2,292,18,16
2,146,292,16
137,82,292,18
265,18,292,272:272
9,82,292,137
18,100,292,64
265,274,100,292
9,146,292,137
265,82,292,256
73,82,292,265
265,82,292,64
265,82,292,128
137,18,146,292
265,18,292,256
9,265,292,256
265,146,292,256
9,10,292,265
73,10,292,265
265,10,292,8
265,10,292,16
73,18,292,82
82,292,18,64
82,292,18,128
1,9,268,292
1,73,268,292
1,268,292,8
1,268,292,16
9,258,292,265:258
265,274,292,256
73,265,292,137
137,265,292,64
137,265,292,128
1,2,292,17
1,2,292,18
1,2,146,292
1,2,292,16
265,292,128,256
137,18,100,292
73,265,292,256
265,100,292,256
137,265,292,256
137,82,100,292
137,82,146,292
18,146,100,292
9,146,292,272:272
82,100,18,292
9,73,100,292
73,100,292,128
9,100,292,128
9,82,100,292
82,146,100,292
137,146,100,292
9,146,292,274
265,292,64,256
73,18,292,272:272
18,292,274,128
18,292,274,64
1,9,292,17
1,17,73,292
1,17,292,8
1,17,292,16
73,18,292,274
17,2,268,292
2,268,18,292
2,146,268,292
2,268,292,16
9,265,289,36
9,18,292,274
18,146,292,274
146,100,292,64
265,18,292,258:258
289,18,36,292
146,292,274,64
9,100,292,137
9,73,292,137
9,292,137,64
9,292,137,128
9,82,292,274
73,274,292,128
73,82,100,292
82,100,292,64
82,100,292,128
73,292,137,64
73,292,137,128
137,292,64,128
17,2,73,292
73,2,292,18
73,2,146,292
73,2,292,16
17,2,292,10
2,292,10,18
2,146,292,10
2,292,10,16
17,2,292,8
2,292,18,8
2,146,292,8
2,292,8,16
137,146,292,274
9,36,289,292
82,292,18,274
9,274,292,128
146,292,274,128
9,146,292,256
73,18,292,256
9,2,292,17
9,2,292,18
9,2,146,292
9,2,292,16
289,18,268,36
265,18,289,36
9,82,292,256
137,18,292,274
1,265,289,268
1,9,146,292
1,146,73,292
1,146,292,8
1,146,292,16
73,18,292,137
137,18,292,64
137,18,292,128
73,146,292,137
137,146,292,64
137,146,292,128
9,10,73,292
9,10,292,8
9,10,292,16
73,10,292,8
73,10,292,16
10,292,8,16
1,9,292,265
1,265,73,292
1,265,292,8
1,265,292,16
82,292,18,256
18,292,64,256
137,82,292,274
9,292,137,256
9,36,289,268
73,292,128,256
265,10,289,268
17,265,289,292
82,146,292,274
73,82,292,137
137,82,292,64
137,82,292,128
1,9,292,10
1,10,73,292
1,10,292,8
1,10,292,16
17,2,292,265
265,2,292,18
265,2,146,292
265,2,292,16
9,274,292,137
18,292,128,256
9,292,128,256
146,292,128,256
265,2,289,268
82,146,292,256
137,146,292,256
73,258,292,265:258
265,146,292,258:258
265,10,289,292
265,18,289,292
9,73,292,272:272
73,146,292,272:272
9,265,289,268
265,146,289,292
73,18,100,292
9,18,100,292
18,100,292,128
9,274,73,292
73,146,292,274
73,265,289,36
265,146,289,36
73,274,100,292
137,18,292,256
9,274,100,292
73,146,100,292
9,146,100,292
146,100,292,128
146,292,64,256
265,289,292,8
137,100,292,256
73,292,64,256
9,292,64,256
292,128,64,256
137,82,292,256
1,9,292,18
1,18,73,292
1,18,292,8
1,18,292,16
73,36,289,268
289,146,268,36
73,100,292,64
9,100,292,64
100,292,64,128
265,289,268,8
17,268,289,292
73,36,289,292
289,146,36,292
289,10,268,292
137,274,100,292
274,292,128,256
265,2,289,292
9,18,292,272:272
18,146,292,272:272
289,18,268,292
265,82,100,292
265,146,100,292
265,100,292,128
265,100,292,64
289,2,268,292
137,274,292,256
18,100,274,292
1,268,289,292
1,265,289,292
73,265,36,164
73,100,292,137
137,100,292,64
137,100,292,128
9,100,292,256
265,18,164,292
265,18,36,164
289,268,292,8
265,82,36,292
289,146,268,292
36,100,164,292
18,100,292,256
18,36,164,292
9,265,36,164
265,146,164,292
146,36,164,292
73,100,292,256
265,18,36,268
274,36,164,292
73,274,292,64
9,274,292,64
274,292,64,128
73,274,292,256
36,292,164,64
137,36,292,164
82,36,164,292
265,36,292,64
265,146,36,292
18,268,36,292
9,73,292,256
73,146,292,256
137,265,36,164
73,36,268,292
146,268,36,292
265,292,164,256
18,292,274,256
265,36,100,292
274,100,292,256
73,274,292,137
137,274,292,64
137,274,292,128
265,100,292,164
9,18,292,256
18,146,292,256
137,265,36,292
274,292,64,256
36,292,164,256
82,292,274,256
265,292,164,64
73,292,137,256
137,292,64,256
137,292,128,256
9,265,36,268
9,36,268,292
1,9,73,292
1,9,292,8
1,9,292,16
1,73,292,8
1,73,292,16
1,292,8,16
265,274,36,164
73,82,292,256
82,292,64,256
82,292,128,256
17,265,268,292
9,274,292,256
146,292,274,256
265,18,36,292
82,100,292,256
146,100,292,256
100,292,128,256
100,292,64,256
265,268,289,292
265,268,292,8
265,36,100,164
265,36,292,256
265,274,36,292
265,274,164,292
1,265,268,292
265,82,164,292
265,36,289,292
137,265,164,292
265,2,268,292
73,36,292,164
9,36,292,164
36,292,164,128
265,36,164,256
73,82,292,274
82,292,274,64
82,292,274,128
265,18,268,292
265,36,289,268
265,10,268,292
289,292,268,36
265,36,268,292
265,36,292,164
265,146,268,292
9,265,289,292
73,265,289,292
265,289,292,16
9,268,289,292
73,268,289,292
289,268,292,16
73,265,36,268
265,146,36,268
9,265,268,292
73,265,268,292
265,268,292,16
73,265,36,292
9,265,36,292
265,36,292,128
73,265,164,292
9,265,164,292
265,292,164,128
73,265,289,268
265,289,268,16
17,265,289,268
265,146,289,268
265,18,289,268
82,100,274,292
146,100,274,292
274,100,292,128
274,100,292,64
265,82,36,164
265,146,36,164
265,36,164,128
265,36,164,64
100,137,265,146,82
100,137,265,82,128
100,137,265,82,64
100,137,265,146,128
100,137,265,146,64
100,137,265,64,128
100,9,265,146,82
100,9,265,82,128
100,9,265,82,64
100,9,265,146,128
100,9,265,146,64
100,9,265,64,128
100,265,82,146,128
100,265,82,146,64
100,265,82,64,128
100,265,146,64,128
100,73,265,146,82
100,73,265,82,128
100,73,265,82,64
100,73,265,146,128
100,73,265,146,64
100,73,265,64,128
100,265,82,146,18
100,265,82,18,128
100,265,82,18,64
100,265,18,146,128
100,265,18,146,64
100,265,18,64,128
100,9,73,265,82
100,9,73,265,146
100,9,73,265,128
100,9,73,265,64
100,73,265,18,82
100,73,265,146,18
100,73,265,18,128
100,73,265,18,64
100,9,73,265,18
100,9,73,265,274
100,9,73,137,265
100,137,265,18,274
100,9,265,18,82
100,9,265,146,18
100,9,265,18,128
100,9,265,18,64
100,9,265,18,256
100,9,265,137,82
100,9,265,137,146
100,9,265,137,128
100,9,265,137,64
100,9,265,137,18
100,9,265,137,274
100,73,265,18,274
100,73,265,137,274
100,73,265,137,18
100,9,137,18,274
289,36,9,73,146
100,9,73,265,256
258,292,73,146,18:258
100,9,265,18,274
100,9,265,137,256
100,73,265,18,256
100,9,73,137,274
258,292,9,73,146:258
100,9,73,18,274
289,36,73,146,18
100,73,137,18,274
100,9,265,82,274
100,9,265,146,274
100,9,265,274,128
100,9,265,274,64
100,137,265,18,256
100,73,265,137,82
100,73,265,137,146
100,73,265,137,128
100,73,265,137,64
100,73,265,137,256
100,73,137,18,256
100,9,73,18,256
100,9,137,18,256
100,9,73,137,256
289,36,9,73,18
289,36,9,146,18
258,292,9,73,18:258
258,292,9,146,18:258
100,73,18,82,256
100,73,18,146,256
100,73,18,128,256
100,73,18,64,256
100,9,265,274,256
100,137,265,82,18
100,137,265,146,18
100,137,265,18,128
100,137,265,18,64
100,9,18,82,274
100,9,18,146,274
100,9,18,274,128
100,9,18,274,64
100,265,18,274,256
100,9,73,82,274
100,9,73,146,274
100,9,73,274,128
100,9,73,274,64
292,9,73,16,17
100,73,265,274,256
100,137,265,82,274
100,137,265,146,274
100,137,265,274,128
100,137,265,274,64
100,73,265,82,256
100,73,265,146,256
100,73,265,128,256
100,73,265,64,256
100,137,82,18,274
100,137,18,146,274
100,137,18,274,128
100,137,18,274,64
100,9,137,82,274
100,9,137,146,274
100,9,137,274,128
100,9,137,274,64
100,82,146,274,128
100,82,146,274,64
100,82,274,64,128
100,146,274,64,128
100,265,82,18,274
100,265,18,146,274
100,265,18,274,128
100,265,18,274,64
100,73,18,82,274
100,73,18,146,274
100,73,18,274,128
100,73,18,274,64
100,265,82,18,256
100,265,18,146,256
100,265,18,128,256
100,265,18,64,256
100,137,265,82,256
100,137,265,146,256
100,137,265,128,256
100,137,265,64,256
100,9,18,82,256
100,9,18,146,256
100,9,18,128,256
100,9,18,64,256
292,9,73,16,18
100,9,137,82,256
100,9,137,146,256
100,9,137,128,256
100,9,137,64,256
292,9,73,16,146
100,137,265,274,256
100,82,146,128,256
100,82,146,64,256
100,82,128,64,256
100,146,128,64,256
100,9,73,82,256
100,9,73,146,256
100,9,73,128,256
100,9,73,64,256
100,73,265,82,274
100,73,265,146,274
100,73,265,274,128
100,73,265,274,64
100,9,137,274,256
100,9,73,274,256
100,73,18,274,256
100,9,18,274,256
100,73,137,82,256
100,73,137,146,256
100,73,137,128,256
100,73,137,64,256
36,82,146,274,128
36,82,146,274,64
36,82,274,64,128
36,146,274,64,128
36,82,146,18,274
36,82,18,274,128
36,82,18,274,64
36,18,146,274,128
36,18,146,274,64
36,18,274,64,128
100,137,18,274,256
100,73,137,82,274
100,73,137,146,274
100,73,137,274,128
100,73,137,274,64
36,9,137,82,274
36,9,137,146,274
36,9,137,274,128
36,9,137,274,64
164,82,146,274,128
164,82,146,274,64
164,82,274,64,128
164,146,274,64,128
36,9,73,82,274
36,9,73,146,274
36,9,73,274,128
36,9,73,274,64
36,9,137,18,274
36,9,73,18,274
100,73,137,274,256
100,9,265,82,256
100,9,265,146,256
100,9,265,128,256
100,9,265,64,256
100,265,82,274,256
100,265,146,274,256
100,265,274,128,256
100,265,274,64,256
36,73,137,18,274
164,9,73,18,274
36,9,73,137,274
164,9,137,18,274
100,137,82,146,274
100,137,82,274,128
100,137,82,274,64
100,137,146,274,128
100,137,146,274,64
100,137,274,64,128
100,265,82,146,256
100,265,82,128,256
100,265,82,64,256
100,265,146,128,256
100,265,146,64,256
100,265,128,64,256
100,137,82,18,256
100,137,18,146,256
100,137,18,128,256
100,137,18,64,256
292,8,9,73,16
164,73,82,146,274
164,73,82,274,128
164,73,82,274,64
164,73,146,274,128
164,73,146,274,64
164,73,274,64,128
100,9,82,274,256
100,9,146,274,256
100,9,274,128,256
100,9,274,64,256
292,8,17,18,146
36,73,18,82,274
36,73,18,146,274
36,73,18,274,128
36,73,18,274,64
100,9,82,146,256
100,9,82,128,256
100,9,82,64,256
100,9,146,128,256
100,9,146,64,256
100,9,128,64,256
100,73,82,146,274
100,73,82,274,128
100,73,82,274,64
100,73,146,274,128
100,73,146,274,64
100,73,274,64,128
100,73,82,146,256
100,73,82,128,256
100,73,82,64,256
100,73,146,128,256
100,73,146,64,256
100,73,128,64,256
164,9,73,137,274
292,9,73,146,128
100,137,82,146,256
100,137,82,128,256
100,137,82,64,256
100,137,146,128,256
100,137,146,64,256
100,137,128,64,256
164,73,137,18,274
164,9,73,82,274
164,9,73,146,274
164,9,73,274,128
164,9,73,274,64
100,137,82,274,256
100,137,146,274,256
